Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
650417,1904/01/10,"15 h 11 min","BIGORRE (PIC DU MIDI)","PYRENEES CENTRALES",,467183.62,6207972.64,42.93,0.15,4,INCERTAINE
1130167,1904/01/16,"16 h 28 min 30 sec","RIVIERA DI PONENTE (SAVONA)",ITALIE,,1143763.62,6371312.72,44.30,8.57,4,"ASSEZ SURE"
650217,1904/02/11,"5 h","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,467718.61,6222788.66,43.07,0.15,,
850027,1904/02/13,"22 h 30 min","BOCAGE VENDEEN (LES AUBIERS)",POITOU,,412273.12,6655020.54,46.93,-0.78,5,"ASSEZ SURE"
850053,1904/02/14,"2 h","BOCAGE VENDEEN (LES AUBIERS)",POITOU,REPLIQUE,412273.12,6655020.54,46.93,-0.78,,
1150038,1904/03/03,"1 h","CORNWALL (PENZANCE)",GRANDE-BRETAGNE,,89031.26,7035154.84,50.12,-5.55,4,"INFORMATION ISOLÉE"
650468,1904/04/09,,"BIGORRE (ST-PE-DE-BIGORRE)","PYRENEES CENTRALES",,442071.27,6227475.04,43.10,-0.17,,"INFORMATION ISOLÉE"
650218,1904/04/19,"5 h","BIGORRE (ST-PE-DE-BIGORRE)","PYRENEES CENTRALES",,442071.27,6227475.04,43.10,-0.17,,
670151,1904/05/02,"1 h 30 min","PLAINE DE BASSE-ALSACE (STRASBOURG)",ALSACE,,1048129.91,6834447.51,48.52,7.72,4.5,INCERTAINE
170070,1904/05/23,"22 h","SAINTONGE (SAINTES)",CHARENTES,,428147.22,6526438.80,45.78,-0.50,4,INCERTAINE
50032,1904/07/12,"5 h 31 min","BRIANCONNAIS (BRIANCON)","ALPES DAUPHINOISES",,989256.87,6430880.62,44.92,6.67,7,SURE
650219,1904/07/12,"1 h","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",PRECURSEUR,467718.61,6222788.66,43.07,0.15,3,"INFORMATION ISOLÉE"
650220,1904/07/13,"14 h","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",PRECURSEUR,467718.61,6222788.66,43.07,0.15,,
650221,1904/07/13,"15 h 10 min 57 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,465003.09,6222887.29,43.07,0.12,7,SURE
650222,1904/07/13,"15 h 20 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,,
650223,1904/07/13,"15 h 35 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,,
650224,1904/07/13,"17 h","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,,
650225,1904/07/14,"1 h","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,,
650226,1904/07/14,"15 h 30 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,,
650227,1904/07/14,"15 h 35 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,,
650228,1904/07/15,"6 h 50 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,,
650229,1904/07/16,"1 h 30 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,,
650230,1904/07/22,"18 h 36 min 36 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,468677.53,6211627.90,42.97,0.17,5,"ASSEZ SURE"
650418,1904/07/22,"18 h 52 min 25 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,,
650419,1904/07/22,"18 h 53 min 35 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,,
650420,1904/07/22,"19 h 16 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,,
650231,1904/07/23,"13 h 52 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,,
650232,1904/07/24,"22 h 30 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,4.5,"INFORMATION ISOLÉE"
650233,1904/07/29,"1 h 30 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,3,"INFORMATION ISOLÉE"
650234,1904/07/29,"2 h 30 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,3,"INFORMATION ISOLÉE"
880025,1904/07/31,"3 h 35 min","HAUTES-VOSGES (LE THILLOT)",VOSGES,,984534.63,6773501.55,48.00,6.82,,
880026,1904/08/01,"7 h 48 min","HAUTES-VOSGES (LE THILLOT)",VOSGES,,984005.78,6758643.14,47.87,6.80,,
650235,1904/08/07,,"BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,,,,,,
650236,1904/08/13,,"BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,3,"INFORMATION ISOLÉE"
650237,1904/08/16,,"BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,3,"INFORMATION ISOLÉE"
650238,1904/08/24,"22 h 45 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,4,"INFORMATION ISOLÉE"
1150037,1904/09/05,"2 h","CORNWALL (CAMBORNE)",GRANDE-BRETAGNE,,106617.84,7042602.16,50.20,-5.32,,"INFORMATION ISOLÉE"
650239,1904/09/08,"10 h 25 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,3,"INFORMATION ISOLÉE"
650240,1904/09/10,"7 h 33 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,2,"INFORMATION ISOLÉE"
650241,1904/09/13,"10 h 15 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,467718.61,6222788.66,43.07,0.15,,
660039,1904/09/29,"12 h 50 min","CERDAGNE (LA TOUR-DE-CAROL)","PYRENEES ORIENTALES",,608028.77,6152517.25,42.47,1.88,,
660040,1904/10/01,"0 h 50 min","CERDAGNE (LA TOUR-DE-CAROL)","PYRENEES ORIENTALES",,608028.77,6152517.25,42.47,1.88,,
660041,1904/10/02,,"CONFLENT (PRADES)","PYRENEES ORIENTALES",,652077.47,6168729.82,42.62,2.42,,
640398,1904/10/18,,"PAYS BASQUE (ST-JEAN-PIED-DE-PORT)","PYRENEES OCCIDENTALES","GROUPE DE SECOUSSES D UN ESSAIM",355660.01,6238947.02,43.17,-1.23,,
1130066,1904/11/15,"19 h 15 min","RIVIERA DI PONENTE (TAGGIA)",ITALIE,,1080302.87,6318919.50,43.87,7.73,5,SURE
650242,1904/12/25,"6 h 41 min","BIGORRE (CAMPAN)","PYRENEES CENTRALES",,470235.90,6217135.32,43.02,0.18,,
730156,1905/01/20,,"TARENTAISE (MOUTIERS)","ALPES SAVOYARDES",,975930.38,6493271.86,45.48,6.53,,
740059,1905/01/24,"3 h 20 min","FAUCIGNY (BONNEVILLE)","ALPES SAVOYARDES",,963943.13,6559439.26,46.08,6.42,5,"INFORMATION ISOLÉE"
1130169,1905/02/07,"22 h","RIVIERA DI PONENTE (SAN REMO)",ITALIE,,1092568.52,6315956.31,43.83,7.88,,
660042,1905/04/02,"4 h 30 min","PLAINE DU ROUSSILLON (COLLIOURE)","PYRENEES ORIENTALES",,706855.90,6159286.72,42.53,3.08,,
840066,1905/04/10,"10 h","BARONNIES (VAISON-LA-ROMAINE)",VAUCLUSE,,860975.00,6354016.68,44.27,5.02,7,"ASSEZ SURE"
650469,1905/04/29,"2 h","BIGORRE (ST-PE-DE-BIGORRE)","PYRENEES CENTRALES",,442071.27,6227475.04,43.10,-0.17,,"INFORMATION ISOLÉE"
740060,1905/04/29,"1 h 59 min 15 sec","MASSIF DU MONT-BLANC (LAC D'EMOSSON)",SUISSE,,1001252.92,6561169.06,46.08,6.90,7.5,"ASSEZ SURE"
740061,1905/04/29,"2 h 10 min","MASSIF DU MONT-BLANC (CHAMONIX)","ALPES SAVOYARDES",REPLIQUE,999586.16,6542556.30,45.92,6.87,,
740062,1905/04/29,"9 h","MASSIF DU MONT-BLANC (CHAMONIX)","ALPES SAVOYARDES",REPLIQUE,999586.16,6542556.30,45.92,6.87,,
740063,1905/04/29,"10 h 25 min","MASSIF DU MONT-BLANC (CHAMONIX)","ALPES SAVOYARDES",REPLIQUE,999586.16,6542556.30,45.92,6.87,,
740064,1905/04/29,"12 h 58 min","MASSIF DU MONT-BLANC (CHAMONIX)","ALPES SAVOYARDES",REPLIQUE,999586.16,6542556.30,45.92,6.87,,
740140,1905/04/30,"1 h 40 min","MASSIF DU MONT-BLANC (CHAMONIX)","ALPES SAVOYARDES",REPLIQUE,1018456.69,6552777.02,46.00,7.12,,
740141,1905/04/30,"21 h 46 min","MASSIF DU MONT-BLANC (CHAMONIX)","ALPES SAVOYARDES",REPLIQUE,1018456.69,6552777.02,46.00,7.12,,
740142,1905/05/01,"19 h 22 min","MASSIF DU MONT-BLANC (CHAMONIX)","ALPES SAVOYARDES",REPLIQUE,1015210.67,6565581.75,46.12,7.08,,"INFORMATION ISOLÉE"
740143,1905/05/01,"21 h 46 min","MASSIF DU MONT-BLANC (CHAMONIX)","ALPES SAVOYARDES",REPLIQUE,1015210.67,6565581.75,46.12,7.08,,"INFORMATION ISOLÉE"
650488,1905/05/03,,"BIGORRE (CAMPAN)","PYRENEES CENTRALES",,470235.90,6217135.32,43.02,0.18,3,"INFORMATION ISOLÉE"
